Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality ,id
2021-09-08 00:00,4.203,0.059,0,0,0,0,p,8411060
2021-09-08 00:06,4.554,0.036,0,0,0,0,p,8411060
2021-09-08 00:12,4.879,0.066,0,0,0,0,p,8411060
2021-09-08 00:18,5.276,0.046,0,0,0,0,p,8411060
2021-09-08 00:24,5.617,0.049,0,0,0,0,p,8411060
2021-09-08 00:30,5.994,0.046,0,0,0,0,p,8411060
2021-09-08 00:36,6.375,0.056,0,0,0,0,p,8411060
2021-09-08 00:42,6.749,0.043,0,0,0,0,p,8411060
2021-09-08 00:48,7.129,0.052,0,0,0,0,p,8411060
2021-09-08 00:54,7.536,0.052,0,0,0,0,p,8411060
2021-09-08 01:00,7.959,0.046,0,0,0,0,p,8411060
2021-09-08 01:06,8.307,0.049,0,0,0,0,p,8411060
2021-09-08 01:12,8.727,0.046,0,0,0,0,p,8411060
2021-09-08 01:18,9.144,0.052,0,0,0,0,p,8411060
2021-09-08 01:24,9.505,0.052,0,0,0,0,p,8411060
2021-09-08 01:30,9.895,0.062,0,0,0,0,p,8411060
2021-09-08 01:36,10.256,0.043,0,0,0,0,p,8411060
2021-09-08 01:42,10.676,0.056,0,0,0,0,p,8411060
2021-09-08 01:48,11.01,0.049,0,0,0,0,p,8411060
2021-09-08 01:54,11.417,0.039,0,0,0,0,p,8411060
2021-09-08 02:00,11.742,0.046,0,0,0,0,p,8411060
2021-09-08 02:06,12.11,0.046,0,0,0,0,p,8411060
2021-09-08 02:12,12.428,0.046,0,0,0,0,p,8411060
2021-09-08 02:18,12.766,0.033,1,0,0,0,p,8411060
2021-09-08 02:24,13.061,0.049,1,0,0,0,p,8411060
2021-09-08 02:30,13.396,0.026,1,0,0,0,p,8411060
2021-09-08 02:36,13.675,0.039,0,0,0,0,p,8411060
2021-09-08 02:42,13.914,0.026,1,0,0,0,p,8411060
2021-09-08 02:48,14.196,0.046,0,0,0,0,p,8411060
2021-09-08 02:54,14.442,0.033,0,0,0,0,p,8411060
2021-09-08 03:00,14.626,0.023,1,0,0,0,p,8411060
2021-09-08 03:06,14.839,0.023,1,0,0,0,p,8411060
2021-09-08 03:12,15.026,0.039,0,0,0,0,p,8411060
2021-09-08 03:18,15.203,0.026,1,0,0,0,p,8411060
2021-09-08 03:24,15.282,0.023,1,0,0,0,p,8411060
2021-09-08 03:30,15.489,0.036,1,0,0,0,p,8411060
2021-09-08 03:36,15.502,0.02,1,0,0,0,p,8411060
2021-09-08 03:42,15.663,0.02,1,0,0,0,p,8411060
2021-09-08 03:48,15.663,0.046,0,0,0,0,p,8411060
2021-09-08 03:54,15.692,0.03,0,0,0,0,p,8411060
2021-09-08 04:00,15.768,0.016,1,0,0,0,p,8411060
2021-09-08 04:06,15.636,0.033,1,0,0,0,p,8411060
2021-09-08 04:12,15.666,0.036,1,0,0,0,p,8411060
2021-09-08 04:18,15.676,0.026,1,0,0,0,p,8411060
2021-09-08 04:24,15.427,0.033,0,0,0,0,p,8411060
2021-09-08 04:30,15.404,0.03,0,0,0,0,p,8411060
2021-09-08 04:36,15.276,0.02,1,0,0,0,p,8411060
2021-09-08 04:42,15.19,0.03,0,0,0,0,p,8411060
2021-09-08 04:48,14.925,0.016,1,0,0,0,p,8411060
2021-09-08 04:54,14.813,0.023,1,0,0,0,p,8411060
2021-09-08 05:00,14.623,0.036,1,0,0,0,p,8411060
2021-09-08 05:06,14.426,0.043,1,0,0,0,p,8411060
2021-09-08 05:12,14.157,0.02,1,0,0,0,p,8411060
2021-09-08 05:18,13.947,0.043,0,0,0,0,p,8411060
2021-09-08 05:24,13.714,0.046,0,0,0,0,p,8411060
2021-09-08 05:30,13.409,0.049,0,0,0,0,p,8411060
2021-09-08 05:36,13.176,0.036,1,0,0,0,p,8411060
2021-09-08 05:42,12.835,0.043,0,0,0,0,p,8411060
2021-09-08 05:48,12.5,0.052,0,0,0,0,p,8411060
2021-09-08 05:54,12.165,0.036,1,0,0,0,p,8411060
2021-09-08 06:00,11.854,0.036,0,0,0,0,p,8411060
2021-09-08 06:06,11.476,0.069,0,0,0,0,p,8411060
2021-09-08 06:12,11.122,0.03,0,0,0,0,p,8411060
2021-09-08 06:18,10.781,0.049,0,0,0,0,p,8411060
2021-09-08 06:24,10.413,0.033,1,0,0,0,p,8411060
2021-09-08 06:30,10.023,0.069,0,0,0,0,p,8411060
2021-09-08 06:36,9.711,0.043,0,0,0,0,p,8411060
2021-09-08 06:42,9.311,0.052,0,0,0,0,p,8411060
2021-09-08 06:48,8.924,0.049,0,0,0,0,p,8411060
2021-09-08 06:54,8.537,0.062,0,0,0,0,p,8411060
2021-09-08 07:00,8.14,0.049,0,0,0,0,p,8411060
2021-09-08 07:06,7.769,0.069,0,0,0,0,p,8411060
2021-09-08 07:12,7.333,0.043,0,0,0,0,p,8411060
2021-09-08 07:18,6.952,0.052,0,0,0,0,p,8411060
2021-09-08 07:24,6.539,0.036,0,0,0,0,p,8411060
2021-09-08 07:30,6.175,0.075,0,0,0,0,p,8411060
2021-09-08 07:36,5.728,0.043,0,0,0,0,p,8411060
2021-09-08 07:42,5.397,0.052,0,0,0,0,p,8411060
2021-09-08 07:48,4.951,0.052,0,0,0,0,p,8411060
2021-09-08 07:54,4.662,0.036,1,0,0,0,p,8411060
2021-09-08 08:00,4.209,0.049,0,0,0,0,p,8411060
2021-09-08 08:06,3.871,0.033,0,0,0,0,p,8411060
2021-09-08 08:12,3.55,0.062,0,0,0,0,p,8411060
2021-09-08 08:18,3.153,0.033,0,0,0,0,p,8411060
2021-09-08 08:24,2.953,0.046,1,0,0,0,p,8411060
2021-09-08 08:30,2.543,0.039,0,0,0,0,p,8411060
2021-09-08 08:36,2.26,0.026,0,0,0,0,p,8411060
2021-09-08 08:42,1.959,0.043,1,0,0,0,p,8411060
2021-09-08 08:48,1.696,0.039,0,0,0,0,p,8411060
2021-09-08 08:54,1.476,0.049,0,0,0,0,p,8411060
2021-09-08 09:00,1.152,0.03,1,0,0,0,p,8411060
2021-09-08 09:06,0.991,0.043,1,0,0,0,p,8411060
2021-09-08 09:12,0.682,0.033,1,0,0,0,p,8411060
2021-09-08 09:18,0.505,0.039,0,0,0,0,p,8411060
2021-09-08 09:24,0.325,0.039,1,0,0,0,p,8411060
2021-09-08 09:30,0.102,0.052,0,0,0,0,p,8411060
2021-09-08 09:36,0.02,0.043,0,0,0,0,p,8411060
2021-09-08 09:42,-0.135,0.033,1,0,0,0,p,8411060
2021-09-08 09:48,-0.315,0.03,1,0,0,0,p,8411060
2021-09-08 09:54,-0.266,0.023,1,0,0,0,p,8411060
2021-09-08 10:00,-0.407,0.026,1,0,0,0,p,8411060
2021-09-08 10:06,-0.42,0.03,1,0,0,0,p,8411060
2021-09-08 10:12,-0.417,0.026,1,0,0,0,p,8411060
2021-09-08 10:18,-0.443,0.033,0,0,0,0,p,8411060
2021-09-08 10:24,-0.367,0.033,1,0,0,0,p,8411060
2021-09-08 10:30,-0.4,0.033,0,0,0,0,p,8411060
2021-09-08 10:36,-0.249,0.03,1,0,0,0,p,8411060
2021-09-08 10:42,-0.226,0.026,1,0,0,0,p,8411060
2021-09-08 10:48,-0.121,0.052,0,0,0,0,p,8411060
2021-09-08 10:54,0.043,0.033,1,0,0,0,p,8411060
2021-09-08 11:00,0.115,0.059,1,0,0,0,p,8411060
2021-09-08 11:06,0.348,0.043,1,0,0,0,p,8411060
2021-09-08 11:12,0.466,0.043,1,0,0,0,p,8411060
2021-09-08 11:18,0.64,0.056,0,0,0,0,p,8411060
2021-09-08 11:24,0.876,0.046,0,0,0,0,p,8411060
2021-09-08 11:30,1.093,0.049,1,0,0,0,p,8411060
2021-09-08 11:36,1.368,0.033,1,0,0,0,p,8411060
2021-09-08 11:42,1.585,0.043,1,0,0,0,p,8411060
2021-09-08 11:48,1.9,0.046,1,0,0,0,p,8411060
2021-09-08 11:54,2.123,0.049,1,0,0,0,p,8411060
2021-09-08 12:00,2.461,0.059,0,0,0,0,p,8411060
2021-09-08 12:06,2.72,0.043,0,0,0,0,p,8411060
2021-09-08 12:12,3.002,0.049,1,0,0,0,p,8411060
2021-09-08 12:18,3.389,0.056,0,0,0,0,p,8411060
2021-09-08 12:24,3.694,0.056,1,0,0,0,p,8411060
2021-09-08 12:30,4.081,0.066,0,0,0,0,p,8411060
2021-09-08 12:36,4.429,0.039,1,0,0,0,p,8411060
2021-09-08 12:42,4.81,0.062,0,0,0,0,p,8411060
2021-09-08 12:48,5.213,0.062,0,0,0,0,p,8411060
2021-09-08 12:54,5.558,0.059,0,0,0,0,p,8411060
2021-09-08 13:00,5.988,0.056,1,0,0,0,p,8411060
2021-09-08 13:06,6.378,0.062,0,0,0,0,p,8411060
2021-09-08 13:12,6.755,0.049,1,0,0,0,p,8411060
2021-09-08 13:18,7.178,0.049,1,0,0,0,p,8411060
2021-09-08 13:24,7.543,0.066,0,0,0,0,p,8411060
2021-09-08 13:30,8.012,0.049,0,0,0,0,p,8411060
2021-09-08 13:36,8.363,0.069,0,0,0,0,p,8411060
2021-09-08 13:42,8.825,0.066,0,0,0,0,p,8411060
2021-09-08 13:48,9.216,0.079,0,0,0,0,p,8411060
2021-09-08 13:54,9.551,0.039,1,0,0,0,p,8411060
2021-09-08 14:00,9.987,0.059,0,0,0,0,p,8411060
2021-09-08 14:06,10.318,0.039,0,0,0,0,p,8411060
2021-09-08 14:12,10.748,0.056,0,0,0,0,p,8411060
2021-09-08 14:18,11.06,0.043,1,0,0,0,p,8411060
2021-09-08 14:24,11.457,0.043,0,0,0,0,p,8411060
2021-09-08 14:30,11.755,0.059,0,0,0,0,p,8411060
2021-09-08 14:36,12.165,0.023,1,0,0,0,p,8411060
2021-09-08 14:42,12.47,0.062,0,0,0,0,p,8411060
2021-09-08 14:48,12.717,0.023,0,0,0,0,p,8411060
